inspection_id,worker_id,inspector_id,lane_id,vendor_id,maintenance_due_date,submission_time,status,gps_distance_worker_to_lane,gps_distance_inspector_to_lane,gps_distance_to_asset,parts_reported,inventory_withdrawal,parts_inventory_diff,photo_hash,photo_similarity_score,num_photos_submitted,edit_count,time_since_last_edit,backdated_flag,time_to_submit,time_between_inspections,hour_of_day,day_of_week,device_id,ip_address,app_version,session_duration,session_count,implied_velocity,validation_bypasses,consensus_score,inspector_vendor_edge_weight,inspector_centrality,anomaly_flag,anomaly_type,flags_list,repeated_pair_flag,photo_reuse_flag,detected_flags,detected_anomaly_flag
2042,184,35,127,27,2025-03-10 03:32:35,2025-03-11 04:50:44,pending,29.79832257061364,1.3818509133077352,9.768601693228176,4,4,0,9ab129fc,0.2085633632177745,1,0,0,0,1840,6995,4,1,device_93,235.202.241.244,v2.3,6344,6,12.58,1,0.865,11,0.392,0,normal,['overdue'],,,overdue,1
13903,76,49,70,28,2025-06-07 23:02:29,2025-06-06 07:40:33,completed,12.462493205421984,14.368152580613806,3.674321122451384,3,2,1,9cda9a51,0.1078483405725319,1,1,303,0,1957,5736,7,4,device_86,57.78.226.137,v2.4,2116,9,3.34,0,0.805,7,0.029,0,normal,['parts_mismatch'],,,parts_mismatch,1
3003,160,9,262,27,2024-09-24 20:56:04,2024-09-26 13:52:48,rejected,18.773171396794343,21.84957744823356,6.273958989603031,1,0,1,d543bcf8,0.1731067215675362,1,0,0,0,2162,1952,13,3,device_62,110.70.58.239,v2.5,72,7,11.8,1,0.553,2,0.535,0,normal,"['overdue', 'parts_mismatch']",,,overdue;parts_mismatch,1
16442,160,1,190,10,2024-08-01 10:07:05,2024-08-01 16:28:59,completed,37.38267151859296,0.3209947740918171,11.199047421485549,5,4,1,7f7fa8b8,0.1683153388653678,1,0,0,0,3184,3346,16,3,device_107,32.57.155.224,v3.7,3942,10,14.36,0,0.949,6,0.23,0,normal,['parts_mismatch'],,,parts_mismatch,1
16297,178,17,226,22,2024-08-16 13:38:53,2024-08-16 00:53:09,pending,12.44880435692869,21.00463000652946,6.7197954039391945,4,3,1,ddf8cb2f,0.0306494720409273,1,1,525,0,3032,1058,0,4,device_73,243.210.120.132,v3.9,6578,3,2.87,0,0.706,19,0.095,0,normal,['parts_mismatch'],,,parts_mismatch,1
5253,110,24,32,25,2025-01-22 07:30:47,2025-01-23 17:03:00,completed,15.35331664572644,22.71466408670892,14.700175737502663,4,3,1,e52c4ab1,0.1477931234207183,1,0,0,0,3523,4869,17,3,device_16,50.245.3.199,v3.4,4303,6,3.2,0,0.498,10,0.498,0,normal,['parts_mismatch'],,,parts_mismatch,1
19394,88,11,55,22,2025-01-03 12:50:16,2025-01-17 12:50:16,rejected,37.07782276232889,12.755229463582864,2.750567810353875,5,4,1,875842c2,0.1077844348490835,1,0,0,0,1479,6067,12,4,device_90,37.91.129.24,v3.3,2747,10,18.28,0,0.729,10,0.266,1,overdue,"['overdue', 'parts_mismatch']",,,overdue;parts_mismatch,1
16797,68,5,232,16,2024-01-28 19:34:39,2024-01-28 21:22:38,completed,17.68422764674619,3.5514286233253216,4.817729073219508,4,3,1,db2edfbf,0.0461190734559395,1,0,0,0,1404,5927,21,6,device_12,60.93.37.191,v3.7,1616,3,10.79,0,0.547,20,0.209,0,normal,['parts_mismatch'],,,parts_mismatch,1
9120,100,35,225,26,2024-04-05 18:07:41,2024-04-05 18:48:21,completed,3.239156762671108,18.41007950387401,6.347192698195988,0,0,0,c7050558,0.1817081874229657,1,0,0,0,1591,6637,18,4,device_84,79.49.50.34,v1.0,6683,1,27.52,0,0.0835530071470733,54,0.8252202578923795,1,collusion,['collusion_suspected'],,,collusion_suspected,1
10121,2,36,21,11,2025-08-19 07:51:12,2025-08-20 11:36:13,pending,26.16890551392322,30.570532123526736,8.261956795005963,4,4,0,12ac3eb9,0.1041958322813455,2,0,0,0,824,1525,11,2,device_200,46.46.92.221,v2.5,7056,2,16.69,1,0.63,1,0.279,0,normal,['overdue'],,,overdue,1
