inspector_id,total_inspections,anomaly_count,top_flags,median_time_to_submit,avg_implied_velocity
1,372,115,"{'parts_mismatch': 94, 'overdue': 26, 'gps_mismatch': 2, 'impossible_travel': 1, 'privilege_abuse': 1, 'photo_anomaly': 1}",1725.5,12.152853451415819
2,384,120,"{'parts_mismatch': 89, 'overdue': 31, 'photo_anomaly': 3, 'backdated': 3, 'impossible_travel': 2, 'collusion_suspected': 1, 'privilege_abuse': 1}",1682.5,12.615185454506786
3,403,139,"{'parts_mismatch': 107, 'overdue': 30, 'photo_anomaly': 4, 'gps_mismatch': 3, 'impossible_travel': 2, 'rubber_stamp': 2, 'collusion_suspected': 1}",2027.0,14.124779953769773
4,412,142,"{'parts_mismatch': 118, 'overdue': 29, 'photo_anomaly': 4, 'rubber_stamp': 2, 'collusion_suspected': 1, 'gps_mismatch': 1, 'backdated': 1, 'impossible_travel': 1}",1663.0,12.51057637111537
5,409,133,"{'parts_mismatch': 105, 'overdue': 31, 'rubber_stamp': 2, 'privilege_abuse': 2, 'collusion_suspected': 1, 'gps_mismatch': 1, 'photo_anomaly': 1}",1769.0,12.53753056234719
6,420,138,"{'parts_mismatch': 104, 'overdue': 35, 'gps_mismatch': 3, 'rubber_stamp': 3, 'backdated': 2, 'collusion_suspected': 1, 'photo_anomaly': 1, 'privilege_abuse': 1}",1747.5,12.547428571428572
7,414,107,"{'parts_mismatch': 77, 'overdue': 21, 'backdated': 5, 'rubber_stamp': 4, 'privilege_abuse': 2, 'photo_anomaly': 2, 'gps_mismatch': 2, 'collusion_suspected': 2, 'impossible_travel': 1}",1645.5,12.63056866407323
8,414,130,"{'parts_mismatch': 95, 'overdue': 37, 'gps_mismatch': 5, 'privilege_abuse': 4, 'rubber_stamp': 3, 'backdated': 1, 'collusion_suspected': 1, 'photo_anomaly': 1}",1798.0,12.705096618357489
9,388,121,"{'parts_mismatch': 102, 'overdue': 22, 'photo_anomaly': 5, 'rubber_stamp': 3, 'gps_mismatch': 2, 'privilege_abuse': 1, 'impossible_travel': 1}",1872.0,12.52000758033821
10,437,144,"{'parts_mismatch': 116, 'overdue': 23, 'backdated': 3, 'photo_anomaly': 3, 'collusion_suspected': 3, 'rubber_stamp': 2, 'privilege_abuse': 2, 'impossible_travel': 2, 'gps_mismatch': 1}",1856.0,14.208707680350452
11,423,140,"{'parts_mismatch': 107, 'overdue': 32, 'gps_mismatch': 5, 'backdated': 2, 'collusion_suspected': 2, 'rubber_stamp': 1, 'photo_anomaly': 1, 'impossible_travel': 1, 'privilege_abuse': 1}",1797.0,12.630876960332339
12,417,124,"{'parts_mismatch': 106, 'overdue': 21, 'rubber_stamp': 1, 'gps_mismatch': 1, 'impossible_travel': 1}",1826.0,12.894157488141344
